time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0.304,0.624439,-1.42991,1.3267,0.630786,-1.40792,1.22849,0.630802,-1.40787,1.22849,0.630786,-1.40792,1.22849,0.0228885,6.18179,0.0229416,6.18179,0.0228886,6.18179
0.316,0.624801,-1.42796,1.313,0.632236,-1.40389,1.20859,0.632258,-1.40382,1.20859,0.632236,-1.40389,1.20859,0.0251929,6.17559,0.0252634,6.17559,0.0251931,6.17559
0.367,0.62483,-1.42753,1.3088,0.633306,-1.40109,1.19466,0.633333,-1.40101,1.19466,0.633306,-1.40109,1.19466,0.0277631,6.16586,0.0278484,6.16586,0.0277635,6.16586
0.398,0.625154,-1.42567,1.295,0.633938,-1.3995,1.1867,0.633968,-1.39941,1.1867,0.633938,-1.3995,1.1867,0.0276018,6.1717,0.027696,6.1717,0.0276022,6.1717
0.411,0.625313,-1.42531,1.2925,0.634386,-1.39839,1.18113,0.634419,-1.3983,1.18113,0.634386,-1.39839,1.18113,0.0284101,6.16863,0.0285107,6.16863,0.0284105,6.16863
0.439,0.625597,-1.42438,1.284,0.635666,-1.39531,1.16561,0.635705,-1.3952,1.16561,0.635666,-1.39531,1.16561,0.0307643,6.16161,0.0308832,6.16161,0.0307649,6.16161
0.464,0.625644,-1.42416,1.2811,0.6358,-1.395,1.16402,0.635841,-1.39488,1.16402,0.635801,-1.395,1.16402,0.0308806,6.16292,0.0310014,6.16292,0.0308811,6.16292
0.49,0.625938,-1.42281,1.2656,0.637584,-1.39092,1.14332,0.637634,-1.39079,1.14332,0.637584,-1.39092,1.14332,0.0339426,6.15772,0.0340895,6.15772,0.0339432,6.15772
0.541,0.626665,-1.42012,1.2458,0.639305,-1.3872,1.12422,0.639367,-1.38704,1.12422,0.639305,-1.3872,1.12422,0.0352596,6.15842,0.0354331,6.15842,0.0352605,6.15842
0.582,0.6268,-1.41972,1.2435,0.640568,-1.38459,1.11068,0.640638,-1.38441,1.11068,0.640568,-1.38459,1.11068,0.0377384,6.14718,0.0379319,6.14718,0.0377394,6.14718
0.612,0.627428,-1.41815,1.2299,0.641405,-1.3829,1.10193,0.641482,-1.38271,1.10193,0.641406,-1.3829,1.10193,0.0379121,6.15203,0.0381191,6.15203,0.0379132,6.15203
0.632,0.628012,-1.4162,1.204,0.643383,-1.37903,1.08163,0.643475,-1.37881,1.08163,0.643384,-1.37902,1.08163,0.0402245,6.15763,0.0404632,6.15763,0.0402257,6.15763
0.695,0.629131,-1.41422,1.1871,0.646506,-1.37325,1.05098,0.646624,-1.37298,1.05098,0.646507,-1.37325,1.05098,0.0445033,6.14388,0.0447966,6.14388,0.0445049,6.14388
0.752,0.629271,-1.41377,1.1843,0.646633,-1.37303,1.04979,0.646752,-1.37276,1.04979,0.646634,-1.37303,1.04979,0.0442883,6.14549,0.0445841,6.14549,0.0442899,6.14549
0.766,0.629428,-1.41175,1.167,0.647398,-1.3717,1.04263,0.647525,-1.37141,1.04263,0.647399,-1.3717,1.04263,0.0438969,6.15563,0.044208,6.15563,0.0438987,6.15563
0.786,0.629507,-1.4113,1.1623,0.648173,-1.37038,1.03546,0.648307,-1.37008,1.03546,0.648173,-1.37037,1.03546,0.0449751,6.15316,0.0453016,6.15316,0.0449769,6.15316
0.796,0.630506,-1.4097,1.1478,0.649915,-1.36745,1.01954,0.650067,-1.36712,1.01954,0.649916,-1.36745,1.01954,0.0464913,6.15174,0.0468523,6.15174,0.0464934,6.15174
0.848,0.631661,-1.40748,1.1289,0.652161,-1.36384,0.999642,0.652337,-1.36347,0.999642,0.652162,-1.36384,0.999642,0.0482166,6.15074,0.0486236,6.15074,0.0482191,6.15074
0.881,0.632383,-1.40494,1.1058,0.654321,-1.36048,0.980936,0.654522,-1.36007,0.980936,0.654322,-1.36047,0.980936,0.0495857,6.15514,0.0500381,6.15514,0.0495884,6.15514
0.939,0.632719,-1.40446,1.1025,0.656505,-1.35724,0.962628,0.656734,-1.35679,0.962628,0.656506,-1.35723,0.962628,0.0528714,6.14013,0.0533727,6.14013,0.0528745,6.14013
1,0.634749,-1.39958,1.064,0.659245,-1.35335,0.94034,0.65951,-1.35286,0.94034,0.659247,-1.35335,0.94034,0.0523195,6.15634,0.0528838,6.15634,0.052323,6.15634
1.041,0.634992,-1.3992,1.06,0.659996,-1.35233,0.93437,0.660272,-1.35181,0.93437,0.659998,-1.35232,0.93437,0.0531273,6.15437,0.0537092,6.15437,0.0531309,6.15437
1.051,0.636171,-1.39779,1.0444,0.66217,-1.3494,0.917256,0.662476,-1.34885,0.917256,0.662172,-1.3494,0.917256,0.05493,6.15286,0.0555624,6.15286,0.0549339,6.15286
1.112,0.636222,-1.3975,1.0409,0.664345,-1.34658,0.90054,0.664684,-1.34599,0.90054,0.664348,-1.34658,0.90054,0.0581675,6.13964,0.0588522,6.13964,0.0581717,6.13964
1.163,0.63607,-1.39597,1.0189,0.667319,-1.34289,0.878252,0.667703,-1.34223,0.878252,0.667321,-1.34288,0.878252,0.0615997,6.13935,0.0623562,6.13935,0.0616043,6.13935
1.194,0.637607,-1.39439,1.0061,0.668457,-1.34152,0.869894,0.668859,-1.34085,0.869894,0.668459,-1.34152,0.869894,0.0612083,6.14379,0.0619924,6.14379,0.0612131,6.14379
1.207,0.63803,-1.39377,1.0018,0.668839,-1.34107,0.867108,0.669247,-1.34039,0.867108,0.668841,-1.34106,0.867108,0.0610453,6.14531,0.0618387,6.14531,0.0610501,6.14531
1.224,0.640069,-1.39027,0.9766,0.672468,-1.33682,0.84084,0.672934,-1.33607,0.84084,0.672471,-1.33682,0.84084,0.0625046,6.14424,0.0633857,6.14424,0.0625098,6.14424
1.285,0.642196,-1.3882,0.9526,0.67451,-1.33455,0.83885,0.675012,-1.33376,0.83885,0.674513,-1.33454,0.83885,0.0626344,6.16625,0.0635682,6.16625,0.0626399,6.16625
1.346,0.642971,-1.38609,0.9287,0.676885,-1.3319,0.83885,0.67743,-1.33107,0.83885,0.676888,-1.3319,0.83885,0.0639258,6.19015,0.0649242,6.19015,0.0639316,6.19015
1.396,0.646194,-1.38246,0.9072,0.678994,-1.32956,0.83885,0.679579,-1.32867,0.83885,0.678997,-1.32955,0.83885,0.0622461,6.21165,0.0633036,6.21165,0.0622521,6.21165
1.447,0.646343,-1.38198,0.9024,0.680487,-1.32789,0.83885,0.681101,-1.32698,0.83885,0.68049,-1.32789,0.83885,0.0639625,6.21645,0.0650636,6.21645,0.0639688,6.21645
1.477,0.646651,-1.38067,0.8852,0.681453,-1.32682,0.83885,0.682087,-1.32588,0.83885,0.681456,-1.32681,0.83885,0.0641217,6.23365,0.0652515,6.23365,0.0641281,6.23365
1.498,0.648112,-1.37954,0.8707,0.683823,-1.32418,0.83885,0.684505,-1.32319,0.83885,0.683827,-1.32417,0.83885,0.0658813,6.24815,0.0670815,6.24815,0.0658879,6.24815
1.585,0.649281,-1.37735,0.8563,0.684729,-1.32171,0.856418,0.685671,-1.32125,0.844278,0.684841,-1.32182,0.856074,0.0659758,6.27988,0.0668699,6.26798,0.0659439,6.27977
1.599,0.649476,-1.37704,0.8549,0.686309,-1.31989,0.856418,0.687273,-1.31945,0.844278,0.686421,-1.32,0.856074,0.0679923,6.27848,0.0688857,6.26938,0.0679611,6.27883
1.624,0.649697,-1.37679,0.854,0.686397,-1.31979,0.856418,0.687362,-1.31935,0.844278,0.686509,-1.3199,0.856074,0.0677991,6.27758,0.0686921,6.27028,0.0677678,6.27793
1.639,0.65093,-1.37597,0.8527,0.687362,-1.31867,0.856418,0.688341,-1.31825,0.844278,0.687474,-1.31878,0.856074,0.0678968,6.27628,0.0687848,6.27158,0.0678646,6.27663
1.66,0.651226,-1.37567,0.852,0.689204,-1.31655,0.856418,0.69021,-1.31614,0.844278,0.689317,-1.31666,0.856074,0.0702709,6.27558,0.0711588,6.27228,0.0702394,6.27593
1.69,0.652413,-1.37383,0.8453,0.689599,-1.31609,0.856418,0.690611,-1.31569,0.844278,0.689712,-1.3162,0.856074,0.0686749,6.26888,0.0695634,6.27898,0.0686436,6.26923
1.71,0.652747,-1.37319,0.8435,0.691089,-1.31438,0.856418,0.692124,-1.31399,0.844278,0.691203,-1.31449,0.856074,0.0702051,6.26708,0.0710961,6.27922,0.0701746,6.26743
1.741,0.654513,-1.37055,0.8403,0.692053,-1.31326,0.856418,0.693103,-1.31289,0.844278,0.692168,-1.31337,0.856074,0.0684911,6.26388,0.0693837,6.27602,0.068461,6.26423
1.771,0.657697,-1.36775,0.8448,0.694376,-1.31059,0.856418,0.695462,-1.31023,0.844278,0.694491,-1.3107,0.856074,0.0679166,6.26838,0.068803,6.27948,0.0678849,6.26873
1.826,0.658232,-1.36743,0.8449,0.69472,-1.31158,0.837582,0.697264,-1.30893,0.842512,0.69476,-1.31167,0.837371,0.0667148,6.27268,0.0703276,6.27761,0.066657,6.27247
1.852,0.659819,-1.36582,0.8411,0.695661,-1.31053,0.837582,0.698201,-1.30788,0.842512,0.695701,-1.31063,0.837371,0.0658861,6.27648,0.0694981,6.27859,0.0658279,6.27627
1.864,0.66015,-1.36527,0.8398,0.695796,-1.31038,0.837582,0.698334,-1.30773,0.842512,0.695836,-1.31048,0.837371,0.0654481,6.27778,0.0690608,6.27729,0.0653899,6.27757
1.883,0.661994,-1.36218,0.8356,0.698216,-1.3077,0.837582,0.700742,-1.30503,0.842512,0.698256,-1.30779,0.837371,0.0654287,6.27802,0.0690523,6.27309,0.0653714,6.27823
1.933,0.662383,-1.36166,0.8359,0.699649,-1.30611,0.837582,0.702169,-1.30343,0.842512,0.69969,-1.3062,0.837371,0.0668984,6.27832,0.0705285,6.27339,0.0668414,6.27853
1.964,0.664979,-1.35996,0.8407,0.700679,-1.30496,0.837582,0.703195,-1.30228,0.842512,0.70072,-1.30506,0.837371,0.0655717,6.27688,0.0691963,6.27819,0.0655134,6.27667
1.994,0.665544,-1.35973,0.8425,0.702604,-1.30283,0.837582,0.705113,-1.30013,0.842512,0.702645,-1.30292,0.837371,0.0679073,6.27508,0.0715396,6.27999,0.067849,6.27487
2.025,0.667602,-1.3576,0.8436,0.703096,-1.30228,0.837582,0.705603,-1.29958,0.842512,0.703137,-1.30238,0.837371,0.0657257,6.27398,0.0693561,6.27891,0.0656668,6.27377
2.062,0.669273,-1.35406,0.8336,0.704195,-1.30113,0.833779,0.707155,-1.29798,0.841448,0.704236,-1.30123,0.83374,0.0634069,6.27982,0.0676736,6.27215,0.063348,6.27986
2.083,0.669694,-1.35362,0.833,0.70451,-1.30078,0.833779,0.707468,-1.29763,0.841448,0.704551,-1.30088,0.83374,0.063277,6.27922,0.0675439,6.27155,0.063218,6.27926
2.106,0.672415,-1.35256,0.8394,0.70685,-1.29821,0.833779,0.709789,-1.29503,0.841448,0.706891,-1.2983,0.83374,0.0643423,6.27438,0.0686027,6.27795,0.0642818,6.27434
2.156,0.675176,-1.34921,0.8397,0.710493,-1.29419,0.833779,0.713406,-1.29098,0.841448,0.710533,-1.29429,0.83374,0.0653796,6.27408,0.0696581,6.27825,0.0653196,6.27404
2.237,0.677441,-1.34593,0.8312,0.712556,-1.29192,0.833779,0.71546,-1.28869,0.841448,0.712597,-1.29202,0.83374,0.0644186,6.27742,0.0687158,6.26975,0.0643592,6.27746
2.301,0.680666,-1.34425,0.8375,0.714201,-1.2905,0.833716,0.718127,-1.28593,0.839588,0.714229,-1.29062,0.833554,0.0633578,6.27622,0.0693164,6.27791,0.0632661,6.27605
2.338,0.682719,-1.34116,0.836,0.716001,-1.28851,0.833716,0.719917,-1.28393,0.839588,0.71603,-1.28864,0.833554,0.0622892,6.27772,0.0682567,6.27641,0.062198,6.27755
2.379,0.683127,-1.34036,0.8347,0.717756,-1.28658,0.833716,0.721662,-1.28199,0.839588,0.717785,-1.28671,0.833554,0.0639642,6.27902,0.0699429,6.27511,0.0638737,6.27885
2.43,0.685569,-1.33739,0.8311,0.720229,-1.28386,0.833716,0.724122,-1.27925,0.839588,0.720258,-1.28398,0.833554,0.0637758,6.27738,0.069765,6.27151,0.0636855,6.27755
2.47,0.687231,-1.33664,0.8345,0.720858,-1.28316,0.833716,0.724749,-1.27855,0.839588,0.720888,-1.28329,0.833554,0.0631714,6.27922,0.0691537,6.27491,0.0630799,6.27905
2.48,0.687562,-1.33649,0.8351,0.721532,-1.28242,0.833716,0.72542,-1.2778,0.839588,0.721562,-1.28255,0.833554,0.0638558,6.27862,0.0698408,6.27551,0.0637642,6.27845
2.501,0.689451,-1.33417,0.8358,0.723374,-1.28039,0.833716,0.727254,-1.27575,0.839588,0.723404,-1.28052,0.833554,0.0635821,6.27792,0.0695771,6.27621,0.0634907,6.27775
2.541,0.689919,-1.33337,0.8349,0.724318,-1.27935,0.833716,0.728194,-1.27471,0.839588,0.724348,-1.27948,0.833554,0.0640451,6.27882,0.0700482,6.27531,0.0639541,6.27865
2.561,0.692637,-1.32967,0.8307,0.725979,-1.27752,0.833716,0.729849,-1.27286,0.839588,0.72601,-1.27765,0.833554,0.0618951,6.27698,0.0679087,6.27111,0.0618042,6.27715
2.602,0.693204,-1.32916,0.8309,0.727864,-1.27544,0.833716,0.731728,-1.27077,0.839588,0.727895,-1.27557,0.833554,0.0639256,6.27718,0.0699534,6.27131,0.0638351,6.27735
2.642,0.696016,-1.32729,0.8354,0.729793,-1.27332,0.833716,0.733652,-1.26862,0.839588,0.729825,-1.27345,0.833554,0.0636705,6.27832,0.0697022,6.27581,0.0635787,6.27815
2.693,0.698597,-1.32411,0.8369,0.731139,-1.27184,0.833716,0.734994,-1.26713,0.839588,0.73117,-1.27196,0.833554,0.061577,6.27682,0.0676175,6.27731,0.0614849,6.27665
2.723,0.698941,-1.32338,0.8356,0.732887,-1.26991,0.833716,0.736739,-1.26518,0.839588,0.732919,-1.27004,0.833554,0.0633384,6.27812,0.0693988,6.27601,0.0632471,6.27795
2.776,0.7006,-1.32103,0.8313,0.734668,-1.26779,0.840279,0.738585,-1.26311,0.839766,0.734695,-1.26792,0.840396,0.0632061,6.27102,0.0692664,6.27153,0.0631131,6.2709
2.804,0.703905,-1.31942,0.8382,0.736187,-1.26609,0.840279,0.740106,-1.26141,0.839766,0.736214,-1.26622,0.840396,0.0623346,6.27792,0.0683766,6.27843,0.0622396,6.2778
2.825,0.704468,-1.31899,0.8399,0.737885,-1.2642,0.840279,0.741806,-1.25951,0.839766,0.737911,-1.26432,0.840396,0.0641757,6.27962,0.0702216,6.27987,0.0640811,6.2795
2.865,0.706668,-1.31539,0.8379,0.739671,-1.2622,0.840279,0.743595,-1.25752,0.839766,0.739698,-1.26233,0.840396,0.0625926,6.27762,0.0686476,6.27813,0.0624988,6.2775
2.906,0.709176,-1.31226,0.834,0.741814,-1.25981,0.840279,0.745742,-1.25512,0.839766,0.74184,-1.25994,0.840396,0.0617754,6.27372,0.0678364,6.27423,0.0616819,6.2736
2.944,0.709828,-1.3119,0.8352,0.741947,-1.25966,0.840279,0.745876,-1.25497,0.839766,0.741973,-1.25979,0.840396,0.0613238,6.27492,0.067381,6.27543,0.0612298,6.2748
3.058,0.71467,-1.30686,0.8374,0.745997,-1.25507,0.843722,0.74981,-1.25054,0.840312,0.746025,-1.2552,0.843795,0.0605235,6.27368,0.0663823,6.27709,0.0604296,6.2736
3.078,0.715035,-1.30624,0.8365,0.746753,-1.25422,0.843722,0.75057,-1.24969,0.840312,0.746782,-1.25435,0.843795,0.0609244,6.27278,0.0667861,6.27619,0.0608307,6.2727
3.098,0.717113,-1.30415,0.8356,0.747821,-1.25302,0.843722,0.751643,-1.24849,0.840312,0.74785,-1.25315,0.843795,0.0596413,6.27188,0.0654979,6.27529,0.0595472,6.2718
3.139,0.717625,-1.30388,0.8364,0.749734,-1.25087,0.843722,0.753565,-1.24635,0.840312,0.749762,-1.251,0.843795,0.0619719,6.27268,0.067833,6.27609,0.0618782,6.2726
3.19,0.720352,-1.30201,0.8406,0.751646,-1.24872,0.843722,0.755487,-1.2442,0.840312,0.751674,-1.24885,0.843795,0.0617954,6.27688,0.0676471,6.27971,0.0617006,6.2768
3.21,0.722005,-1.29939,0.8384,0.752224,-1.24807,0.843722,0.756068,-1.24355,0.840312,0.752252,-1.2482,0.843795,0.0595572,6.27468,0.0654113,6.27809,0.0594625,6.2746
3.23,0.722364,-1.29868,0.8369,0.753202,-1.24697,0.843722,0.757052,-1.24245,0.840312,0.75323,-1.2471,0.843795,0.0602046,6.27318,0.0660656,6.27659,0.0601105,6.2731
3.254,0.724405,-1.29593,0.8333,0.752285,-1.24912,0.836051,0.758538,-1.24141,0.839444,0.752252,-1.24932,0.835923,0.0544818,6.27725,0.0643225,6.27386,0.0542971,6.27738
3.281,0.724984,-1.2956,0.8339,0.75426,-1.24694,0.836051,0.760507,-1.23922,0.839444,0.754228,-1.24713,0.835923,0.0567858,6.27785,0.0666342,6.27446,0.0566015,6.27798
3.321,0.728306,-1.29375,0.8406,0.755876,-1.24515,0.836051,0.762118,-1.23742,0.839444,0.755843,-1.24535,0.835923,0.0558769,6.27545,0.0656968,6.27884,0.0556907,6.27532
3.362,0.730142,-1.29025,0.8351,0.758521,-1.24222,0.836051,0.764758,-1.23448,0.839444,0.75849,-1.24242,0.835923,0.0557872,6.27905,0.0656386,6.27566,0.0556021,6.27918
3.422,0.732957,-1.28751,0.8358,0.761298,-1.23915,0.836051,0.767532,-1.23139,0.839444,0.761267,-1.23934,0.835923,0.0560532,6.27975,0.0659144,6.27636,0.0558678,6.27988
3.474,0.733527,-1.2873,0.8374,0.761432,-1.239,0.836051,0.767667,-1.23124,0.839444,0.761401,-1.2392,0.835923,0.0557792,6.27865,0.0656337,6.27796,0.0555934,6.27852
3.492,0.73663,-1.28473,0.8383,0.763554,-1.23658,0.842593,0.769745,-1.2289,0.839919,0.763519,-1.23677,0.842694,0.0551689,6.27571,0.0649122,6.27838,0.0549794,6.27561
3.544,0.73828,-1.2814,0.8337,0.76636,-1.23343,0.842593,0.772562,-1.22576,0.839919,0.766326,-1.23363,0.842694,0.0555889,6.27111,0.0653606,6.27378,0.0554009,6.27101
3.604,0.740552,-1.27981,0.8353,0.768985,-1.23049,0.842593,0.775201,-1.22281,0.839919,0.768951,-1.23068,0.842694,0.0569351,6.27271,0.0667043,6.27538,0.0567469,6.27261
3.647,0.741191,-1.27943,0.8364,0.769119,-1.23034,0.842593,0.775335,-1.22266,0.839919,0.769084,-1.23053,0.842694,0.0564791,6.27381,0.0662413,6.27648,0.0562905,6.27371
3.665,0.744679,-1.27637,0.8389,0.771563,-1.22759,0.842593,0.777795,-1.21992,0.839919,0.771528,-1.22779,0.842694,0.0556964,6.27631,0.065449,6.27898,0.0555072,6.27621
3.726,0.745205,-1.27552,0.8382,0.773384,-1.22555,0.842593,0.779629,-1.21787,0.839919,0.773349,-1.22575,0.842694,0.0573624,6.27561,0.0671382,6.27828,0.0571739,6.27551
3.776,0.747244,-1.27147,0.8317,0.775559,-1.22311,0.842593,0.78182,-1.21543,0.839919,0.775524,-1.22331,0.842694,0.0560374,6.26911,0.0658485,6.27178,0.0558503,6.26901
3.807,0.749105,-1.27086,0.8361,0.776358,-1.22222,0.842593,0.782625,-1.21453,0.839919,0.776323,-1.22241,0.842694,0.0557593,6.27351,0.0655492,6.27618,0.0555709,6.27341
3.817,0.749607,-1.27072,0.8377,0.777956,-1.22043,0.842593,0.784235,-1.21274,0.839919,0.77792,-1.22062,0.842694,0.0577319,6.27511,0.0675352,6.27778,0.0575439,6.27501
3.858,0.751806,-1.26882,0.8416,0.778399,-1.21993,0.842593,0.784682,-1.21224,0.839919,0.778364,-1.22012,0.842694,0.0556561,6.27901,0.0654405,6.27832,0.0554672,6.27891
3.868,0.752236,-1.26804,0.8404,0.780173,-1.21794,0.842593,0.786471,-1.21024,0.839919,0.780138,-1.21813,0.842694,0.0573677,6.27781,0.0671802,6.27952,0.0571797,6.27771
3.939,0.754016,-1.26425,0.8326,0.782301,-1.21555,0.842593,0.788618,-1.20785,0.839919,0.782265,-1.21575,0.842694,0.0563139,6.27001,0.0661691,6.27268,0.0561273,6.26991
3.969,0.756668,-1.26269,0.8377,0.781593,-1.21691,0.837225,0.790286,-1.20628,0.839335,0.781607,-1.21712,0.837027,0.0521222,6.27952,0.0656648,6.27836,0.0519489,6.27933
3.999,0.759891,-1.2597,0.8376,0.783656,-1.21462,0.837225,0.792345,-1.20399,0.839335,0.78367,-1.21483,0.837027,0.0509561,6.27962,0.0644741,6.27826,0.0507813,6.27943
4.05,0.761631,-1.2561,0.8327,0.785941,-1.21209,0.837225,0.794627,-1.20145,0.839335,0.785956,-1.21229,0.837027,0.0502824,6.27548,0.0638455,6.27336,0.0501096,6.27567
4.101,0.762006,-1.2557,0.8328,0.787016,-1.2109,0.837225,0.795701,-1.20025,0.839335,0.787031,-1.2111,0.837027,0.0513134,6.27558,0.0648877,6.27346,0.051141,6.27577
4.111,0.764246,-1.25443,0.8345,0.788718,-1.20901,0.837225,0.797402,-1.19835,0.839335,0.788733,-1.20921,0.837027,0.0515988,6.27728,0.0651488,6.27516,0.0514246,6.27747
4.146,0.764859,-1.25413,0.8352,0.789165,-1.20851,0.837225,0.797849,-1.19786,0.839335,0.78918,-1.20872,0.837027,0.0516902,6.27798,0.0652325,6.27586,0.0515155,6.27817
4.212,0.7679,-1.25116,0.837,0.792926,-1.20428,0.84043,0.801533,-1.19373,0.839583,0.792939,-1.20449,0.840465,0.0531456,6.27657,0.0665529,6.27742,0.0529648,6.27653
4.273,0.771783,-1.24628,0.8339,0.795784,-1.20109,0.84043,0.804397,-1.19054,0.839583,0.795797,-1.2013,0.840465,0.0511733,6.27347,0.0645806,6.27432,0.0509924,6.27343
4.358,0.774895,-1.24393,0.8389,0.798136,-1.19835,0.835669,0.807204,-1.18751,0.824063,0.798147,-1.19857,0.835679,0.0511651,6.27677,0.0650181,6.26516,0.0509739,6.27678
4.374,0.776862,-1.24021,0.8321,0.801032,-1.19517,0.815769,0.810137,-1.18436,0.804163,0.801043,-1.19539,0.815779,0.0511126,6.26367,0.0650062,6.25206,0.0509238,6.26368
4.425,0.777185,-1.23965,0.8307,0.802982,-1.19311,0.802635,0.812113,-1.18233,0.791029,0.802993,-1.19333,0.802645,0.0532101,6.25193,0.0671276,6.24033,0.0530229,6.25194
4.455,0.779128,-1.23837,0.8336,0.805558,-1.19047,0.785521,0.814722,-1.17971,0.773915,0.805568,-1.19069,0.785531,0.0547094,6.23192,0.0686159,6.22031,0.054522,6.23193
4.526,0.782735,-1.23568,0.8392,0.807942,-1.18743,0.82004,0.817182,-1.17828,0.762454,0.807956,-1.18765,0.82026,0.0544385,6.26084,0.0669451,6.20325,0.0542482,6.26106
4.557,0.784142,-1.23236,0.8253,0.809294,-1.18599,0.810886,0.818615,-1.17691,0.7533,0.809308,-1.18621,0.811106,0.052752,6.26559,0.0652857,6.208,0.0525638,6.26581
4.577,0.784336,-1.2318,0.8196,0.811551,-1.18363,0.795762,0.821006,-1.17469,0.738176,0.811564,-1.18385,0.795982,0.0553333,6.25616,0.0678758,6.19858,0.0551472,6.25638
4.638,0.786341,-1.23054,0.797,0.814584,-1.18057,0.782628,0.824214,-1.17181,0.725042,0.814597,-1.18079,0.782848,0.0574034,6.26563,0.0698895,6.20804,0.0572177,6.26585
4.759,0.790542,-1.22664,0.7514,0.817011,-1.17902,0.762042,0.828753,-1.16625,0.728104,0.817041,-1.17922,0.76183,0.054478,6.26936,0.0714609,6.2567,0.0543178,6.26957
4.779,0.791211,-1.22632,0.7517,0.818755,-1.17736,0.762042,0.830553,-1.16465,0.728104,0.818785,-1.17756,0.76183,0.0561774,6.26966,0.0731537,6.2564,0.0560178,6.26987
4.861,0.796499,-1.21995,0.7572,0.821951,-1.17431,0.762042,0.833854,-1.1617,0.728104,0.821981,-1.17451,0.76183,0.0522611,6.27516,0.069199,6.2509,0.0521008,6.27537
4.891,0.797166,-1.21964,0.7576,0.823983,-1.17237,0.762042,0.835954,-1.15983,0.728104,0.824014,-1.17257,0.76183,0.0543494,6.27556,0.0712879,6.2505,0.0541899,6.27577
4.942,0.8002,-1.21782,0.7554,0.826643,-1.16983,0.762042,0.838705,-1.15738,0.728104,0.826674,-1.17003,0.76183,0.054791,6.27336,0.0716635,6.2527,0.0546298,6.27357
4.992,0.801825,-1.21487,0.748,0.828975,-1.16739,0.752203,0.840577,-1.1561,0.731961,0.829014,-1.1676,0.752109,0.0546922,6.2758,0.070395,6.26396,0.0545313,6.27589
5.023,0.804027,-1.21353,0.7544,0.829513,-1.16689,0.752203,0.841126,-1.15561,0.731961,0.829552,-1.1671,0.752109,0.0531497,6.2778,0.068783,6.25756,0.0529861,6.27771
5.044,0.804738,-1.21334,0.7566,0.831029,-1.16547,0.752203,0.842671,-1.15422,0.731961,0.831068,-1.16568,0.752109,0.0546135,6.2756,0.0702418,6.25536,0.0544502,6.27551
5.094,0.807816,-1.21135,0.759,0.833473,-1.16318,0.752203,0.845163,-1.15198,0.731961,0.833512,-1.16339,0.752109,0.0545731,6.2732,0.0701381,6.25296,0.054408,6.27311
5.145,0.809588,-1.20787,0.7489,0.835817,-1.16099,0.752203,0.847555,-1.14983,0.731961,0.835857,-1.1612,0.752109,0.05372,6.2767,0.069354,6.26306,0.0535576,6.27679
